,kp,ki,Average Settling Time (sec)
72,70.1,10.1,49.4306
230,230.1,0.1,49.6409
225,225.1,0.1,49.8484
235,235.1,0.1,49.9073
216,215.1,5.1,50.0671
236,235.1,5.1,50.2258
240,240.1,0.1,50.4071
231,230.1,5.1,50.49
67,65.1,10.1,50.5507
83,80.1,15.1,50.5865
227,225.1,10.1,50.7114
221,220.1,5.1,50.7658
222,220.1,10.1,51.0105
226,225.1,5.1,51.0878
78,75.1,15.1,51.2808
217,215.1,10.1,51.2893
212,210.1,10.1,51.356
245,245.1,0.1,51.8738
62,60.1,10.1,52.0961
36,35.1,5.1,52.1454
15,15.1,0.1,52.8418
57,55.1,10.1,53.6263
52,50.1,10.1,55.5819
47,45.1,10.1,57.7454
31,30.1,5.1,59.9914
25,25.1,0.1,74.0268
26,25.1,5.1,74.3842
21,20.1,5.1,93.8229
0,0.1,0.1,999999
1,0.1,5.1,999999
2,0.1,10.1,999999
3,0.1,15.1,999999
4,0.1,20.1,999999
5,5.1,0.1,999999
6,5.1,5.1,999999
7,5.1,10.1,999999
8,5.1,15.1,999999
9,5.1,20.1,999999
10,10.1,0.1,999999
11,10.1,5.1,999999
12,10.1,10.1,999999
13,10.1,15.1,999999
14,10.1,20.1,999999
16,15.1,5.1,999999
17,15.1,10.1,999999
18,15.1,15.1,999999
19,15.1,20.1,999999
22,20.1,10.1,999999
23,20.1,15.1,999999
24,20.1,20.1,999999
27,25.1,10.1,999999
28,25.1,15.1,999999
29,25.1,20.1,999999
32,30.1,10.1,999999
33,30.1,15.1,999999
34,30.1,20.1,999999
37,35.1,10.1,999999
38,35.1,15.1,999999
39,35.1,20.1,999999
42,40.1,10.1,999999
43,40.1,15.1,999999
44,40.1,20.1,999999
48,45.1,15.1,999999
49,45.1,20.1,999999
53,50.1,15.1,999999
54,50.1,20.1,999999
58,55.1,15.1,999999
59,55.1,20.1,999999
63,60.1,15.1,999999
64,60.1,20.1,999999
68,65.1,15.1,999999
69,65.1,20.1,999999
73,70.1,15.1,999999
74,70.1,20.1,999999
79,75.1,20.1,999999
84,80.1,20.1,999999
89,85.1,20.1,999999
94,90.1,20.1,999999
99,95.1,20.1,999999
104,100.1,20.1,999999
109,105.1,20.1,999999
114,110.1,20.1,999999
119,115.1,20.1,999999
124,120.1,20.1,999999
129,125.1,20.1,999999
134,130.1,20.1,999999
139,135.1,20.1,999999
143,140.1,15.1,999999
144,140.1,20.1,999999
148,145.1,15.1,999999
149,145.1,20.1,999999
153,150.1,15.1,999999
154,150.1,20.1,999999
158,155.1,15.1,999999
159,155.1,20.1,999999
163,160.1,15.1,999999
164,160.1,20.1,999999
168,165.1,15.1,999999
169,165.1,20.1,999999
173,170.1,15.1,999999
174,170.1,20.1,999999
178,175.1,15.1,999999
179,175.1,20.1,999999
183,180.1,15.1,999999
184,180.1,20.1,999999
188,185.1,15.1,999999
189,185.1,20.1,999999
193,190.1,15.1,999999
194,190.1,20.1,999999
198,195.1,15.1,999999
199,195.1,20.1,999999
203,200.1,15.1,999999
204,200.1,20.1,999999
208,205.1,15.1,999999
209,205.1,20.1,999999
213,210.1,15.1,999999
214,210.1,20.1,999999
218,215.1,15.1,999999
219,215.1,20.1,999999
223,220.1,15.1,999999
224,220.1,20.1,999999
228,225.1,15.1,999999
229,225.1,20.1,999999
232,230.1,10.1,999999
233,230.1,15.1,999999
234,230.1,20.1,999999
237,235.1,10.1,999999
238,235.1,15.1,999999
239,235.1,20.1,999999
241,240.1,5.1,999999
242,240.1,10.1,999999
243,240.1,15.1,999999
244,240.1,20.1,999999
246,245.1,5.1,999999
247,245.1,10.1,999999
248,245.1,15.1,999999
249,245.1,20.1,999999
250,250.1,0.1,999999
251,250.1,5.1,999999
252,250.1,10.1,999999
253,250.1,15.1,999999
254,250.1,20.1,999999
255,255.1,0.1,999999
256,255.1,5.1,999999
257,255.1,10.1,999999
258,255.1,15.1,999999
259,255.1,20.1,999999
260,260.1,0.1,999999
261,260.1,5.1,999999
262,260.1,10.1,999999
263,260.1,15.1,999999
264,260.1,20.1,999999
265,265.1,0.1,999999
266,265.1,5.1,999999
267,265.1,10.1,999999
268,265.1,15.1,999999
269,265.1,20.1,999999
270,270.1,0.1,999999
271,270.1,5.1,999999
272,270.1,10.1,999999
273,270.1,15.1,999999
274,270.1,20.1,999999
275,275.1,0.1,999999
276,275.1,5.1,999999
277,275.1,10.1,999999
278,275.1,15.1,999999
279,275.1,20.1,999999
280,280.1,0.1,999999
281,280.1,5.1,999999
282,280.1,10.1,999999
283,280.1,15.1,999999
284,280.1,20.1,999999
285,285.1,0.1,999999
286,285.1,5.1,999999
287,285.1,10.1,999999
288,285.1,15.1,999999
289,285.1,20.1,999999
290,290.1,0.1,999999
291,290.1,5.1,999999
292,290.1,10.1,999999
293,290.1,15.1,999999
294,290.1,20.1,999999
295,295.1,0.1,999999
296,295.1,5.1,999999
297,295.1,10.1,999999
298,295.1,15.1,999999
299,295.1,20.1,999999
300,300.1,0.1,999999
301,300.1,5.1,999999
302,300.1,10.1,999999
303,300.1,15.1,999999
304,300.1,20.1,999999
305,305.1,0.1,999999
306,305.1,5.1,999999
307,305.1,10.1,999999
308,305.1,15.1,999999
309,305.1,20.1,999999
310,310.1,0.1,999999
311,310.1,5.1,999999
312,310.1,10.1,999999
313,310.1,15.1,999999
314,310.1,20.1,999999
315,315.1,0.1,999999
316,315.1,5.1,999999
317,315.1,10.1,999999
318,315.1,15.1,999999
319,315.1,20.1,999999
320,320.1,0.1,999999
321,320.1,5.1,999999
322,320.1,10.1,999999
323,320.1,15.1,999999
324,320.1,20.1,999999
325,325.1,0.1,999999
326,325.1,5.1,999999
327,325.1,10.1,999999
328,325.1,15.1,999999
329,325.1,20.1,999999
