KP,KI,DELAY,SETTLINGTIME
60.1,0.1,0.19,39.96327273
105.1,0.1,0.1,39.9716
60.1,0.1,0.2,39.98506
55.1,0.1,0.14,39.99415
110.1,5.1,0.07,40.0044
100.1,0.1,0.06,40.0288
60.1,0.1,0.21,40.03936842
105.1,0.1,0.11,40.0444
35.1,0.1,0.21,40.1088
55.1,0.1,0.15,40.11466667
150.1,0.1,0.01,40.119
35.1,0.1,0.2,40.1244
35.1,0.1,0.19,40.1488
35.1,0.1,0.18,40.1688
35.1,0.1,0.17,40.2008
55.1,0.1,0.16,40.204
35.1,0.1,0.16,40.2308
35.1,0.1,0.15,40.2808
150.1,0.1,0.02,40.3068
35.1,0.1,0.14,40.3108
100.1,0.1,0.07,40.3608
90.1,0.1,0.01,40.3808
150.1,0.1,0.03,40.40541176
80.1,0.1,0.04,40.4108
95.1,0.1,0.03,40.4208
35.1,0.1,0.13,40.4208
145.1,0.1,0.01,40.4374
105.1,5.1,0.01,40.4664
100.1,0.1,0.08,40.4708
150.1,0.1,0.04,40.4715
85.1,0.1,0.01,40.5008
95.1,0.1,0.04,40.5108
35.1,0.1,0.12,40.5108
145.1,0.1,0.02,40.51112
55.1,0.1,0.17,40.524
105.1,5.1,0.02,40.5264
150.1,0.1,0.05,40.53677419
140.1,0.1,0.01,40.53872727
145.1,0.1,0.03,40.54769231
90.1,0.1,0.02,40.5508
130.1,0.1,0.01,40.55511111
100.1,0.1,0.09,40.5664
105.1,5.1,0.03,40.57493333
95.1,0.1,0.05,40.5808
35.1,0.1,0.11,40.5808
150.1,0.1,0.06,40.58222222
145.1,0.1,0.04,40.58848276
85.1,0.1,0.02,40.5908
135.1,0.1,0.01,40.59129412
55.1,0.1,0.18,40.59457143
105.1,5.1,0.04,40.5964
100.1,0.1,0.1,40.6064
35.1,0.1,0.1,40.6108
140.1,0.1,0.02,40.6115
50.1,0.1,0.15,40.6136
90.1,0.1,0.03,40.6164
130.1,0.1,0.02,40.61844444
95.1,0.1,0.06,40.6264
105.1,5.1,0.05,40.63493333
80.1,0.1,0.05,40.6408
140.1,0.1,0.03,40.6415
135.1,0.1,0.02,40.646
105.1,5.1,0.06,40.6492
145.1,0.1,0.05,40.65527273
85.1,0.1,0.03,40.6608
35.1,0.1,0.09,40.6608
90.1,0.1,0.04,40.6708
35.1,0.1,0.08,40.6708
100.1,0.1,0.11,40.67493333
140.1,0.1,0.04,40.68316667
55.1,0.1,0.19,40.68545455
95.1,0.1,0.07,40.6864
105.1,5.1,0.07,40.68826667
105.1,5.1,0.08,40.6942
50.1,0.1,0.16,40.698
100.1,0.1,0.12,40.69826667
145.1,0.1,0.06,40.69994286
130.1,0.1,0.03,40.7005
35.1,0.1,0.07,40.7008
135.1,0.1,0.03,40.70586667
95.1,0.1,0.08,40.71826667
55.1,0.1,0.2,40.71933333
90.1,0.1,0.05,40.7264
35.1,0.1,0.06,40.7264
105.1,5.1,0.09,40.72976
85.1,0.1,0.04,40.7308
45.1,0.1,0.2,40.7316
105.1,5.1,0.1,40.7392
35.1,0.1,0.05,40.7408
35.1,0.1,0.04,40.7508
100.1,0.1,0.13,40.75493333
140.1,0.1,0.05,40.75495652
145.1,0.1,0.07,40.75737143
35.1,0.1,0.01,40.7608
35.1,0.1,0.03,40.7608
100.1,5.1,0.01,40.76826667
35.1,0.1,0.02,40.7708
90.1,0.1,0.06,40.7764
95.1,0.1,0.09,40.7764
55.1,0.1,0.21,40.78
135.1,0.1,0.04,40.784
50.1,0.1,0.17,40.79454545
100.1,5.1,0.02,40.80493333
95.1,0.1,0.1,40.8116
140.1,0.1,0.06,40.81626087
85.1,0.1,0.05,40.8208
90.1,0.1,0.07,40.8408
100.1,5.1,0.03,40.8416
50.1,0.1,0.18,40.84766667
100.1,5.1,0.04,40.86493333
95.1,0.1,0.11,40.8764
135.1,0.1,0.05,40.8788
130.1,0.1,0.04,40.879
90.1,0.1,0.08,40.8908
140.1,0.1,0.07,40.89663158
100.1,5.1,0.05,40.9064
95.1,0.1,0.12,40.9064
85.1,0.1,0.06,40.9108
100.1,5.1,0.06,40.9164
50.1,0.1,0.19,40.92433333
45.1,0.1,0.21,40.9256
95.1,0.1,0.13,40.95493333
100.1,5.1,0.07,40.9564
100.1,5.1,0.08,40.96493333
50.1,0.1,0.2,40.971
90.1,0.1,0.09,40.9764
140.1,0.1,0.08,40.9856
95.1,0.1,0.14,40.98596
100.1,5.1,0.09,41.0088
100.1,5.1,0.1,41.0144
50.1,0.1,0.21,41.01542857
95.1,0.1,0.15,41.0444
90.1,0.1,0.1,41.0488
100.1,5.1,0.11,41.0696
135.1,0.1,0.06,41.098
140.1,0.1,0.09,41.3216
90.1,0.1,0.11,41.3808
130.1,0.1,0.05,41.408
95.1,5.1,0.01,41.4208
85.1,0.1,0.07,41.4208
80.1,0.1,0.06,41.4308
135.1,0.1,0.07,41.44433333
125.1,0.1,0.05,41.47955556
90.1,0.1,0.12,41.4908
75.1,0.1,0.07,41.5008
95.1,5.1,0.02,41.5064
85.1,0.1,0.08,41.5108
130.1,0.1,0.06,41.51685714
120.1,0.1,0.06,41.52028571
135.1,0.1,0.08,41.5314
95.1,5.1,0.03,41.5664
80.1,0.1,0.07,41.5808
185.1,0.1,0.01,41.5816
95.1,5.1,0.04,41.5864
125.1,0.1,0.06,41.58876923
130.1,0.1,0.07,41.60084211
85.1,0.1,0.09,41.6064
90.1,0.1,0.13,41.6064
75.1,0.1,0.08,41.6108
135.1,0.1,0.09,41.61692308
80.1,0.1,0.08,41.6308
95.1,5.1,0.05,41.63493333
90.1,0.1,0.14,41.6364
95.1,5.1,0.06,41.63826667
120.1,0.1,0.07,41.6405
85.1,0.1,0.1,41.6508
130.1,0.1,0.08,41.66872727
135.1,0.1,0.1,41.67293333
125.1,0.1,0.07,41.67386667
95.1,5.1,0.07,41.6816
95.1,5.1,0.08,41.68493333
90.1,0.1,0.15,41.7064
75.1,0.1,0.09,41.7208
80.1,0.1,0.09,41.7208
85.1,0.1,0.11,41.7264
95.1,5.1,0.09,41.72826667
95.1,5.1,0.1,41.7292
90.1,0.1,0.16,41.7364
135.1,0.1,0.11,41.74164706
130.1,0.1,0.09,41.74365217
85.1,0.1,0.12,41.7564
125.1,0.1,0.08,41.76386667
95.1,5.1,0.11,41.7642
95.1,5.1,0.12,41.76493333
80.1,0.1,0.1,41.7708
90.1,5.1,0.01,41.7764
90.1,0.1,0.17,41.78826667
175.1,0.1,0.01,41.7964
130.1,0.1,0.1,41.8065
50.1,5.1,0.01,41.81
75.1,0.1,0.1,41.8108
120.1,0.1,0.08,41.81742857
90.1,5.1,0.02,41.82493333
175.1,0.1,0.02,41.8364
80.1,0.1,0.11,41.8408
85.1,0.1,0.13,41.8464
85.1,0.1,0.14,41.8464
90.1,5.1,0.03,41.8664
50.1,5.1,0.02,41.88261538
