,kp,ki,Average Settling Time (sec)
207,205.1,10.1,999999
208,205.1,15.1,999999
209,205.1,20.1,999999
210,210.1,0.1,999999
211,210.1,5.1,999999
212,210.1,10.1,999999
213,210.1,15.1,999999
214,210.1,20.1,999999
215,215.1,0.1,999999
216,215.1,5.1,999999
217,215.1,10.1,999999
218,215.1,15.1,999999
219,215.1,20.1,999999
220,220.1,0.1,999999
221,220.1,5.1,999999
222,220.1,10.1,999999
223,220.1,15.1,999999
224,220.1,20.1,999999
225,225.1,0.1,999999
226,225.1,5.1,999999
227,225.1,10.1,999999
228,225.1,15.1,999999
229,225.1,20.1,999999
230,230.1,0.1,999999
231,230.1,5.1,999999
232,230.1,10.1,999999
233,230.1,15.1,999999
234,230.1,20.1,999999
235,235.1,0.1,999999
236,235.1,5.1,999999
237,235.1,10.1,999999
238,235.1,15.1,999999
239,235.1,20.1,999999
240,240.1,0.1,999999
241,240.1,5.1,999999
242,240.1,10.1,999999
243,240.1,15.1,999999
244,240.1,20.1,999999
245,245.1,0.1,999999
246,245.1,5.1,999999
247,245.1,10.1,999999
248,245.1,15.1,999999
249,245.1,20.1,999999
250,250.1,0.1,999999
251,250.1,5.1,999999
252,250.1,10.1,999999
253,250.1,15.1,999999
254,250.1,20.1,999999
255,255.1,0.1,999999
256,255.1,5.1,999999
257,255.1,10.1,999999
258,255.1,15.1,999999
259,255.1,20.1,999999
260,260.1,0.1,999999
261,260.1,5.1,999999
262,260.1,10.1,999999
263,260.1,15.1,999999
264,260.1,20.1,999999
265,265.1,0.1,999999
266,265.1,5.1,999999
267,265.1,10.1,999999
268,265.1,15.1,999999
269,265.1,20.1,999999
270,270.1,0.1,999999
271,270.1,5.1,999999
272,270.1,10.1,999999
273,270.1,15.1,999999
274,270.1,20.1,999999
275,275.1,0.1,999999
276,275.1,5.1,999999
277,275.1,10.1,999999
278,275.1,15.1,999999
279,275.1,20.1,999999
280,280.1,0.1,999999
281,280.1,5.1,999999
282,280.1,10.1,999999
283,280.1,15.1,999999
284,280.1,20.1,999999
285,285.1,0.1,999999
286,285.1,5.1,999999
287,285.1,10.1,999999
288,285.1,15.1,999999
289,285.1,20.1,999999
290,290.1,0.1,999999
291,290.1,5.1,999999
292,290.1,10.1,999999
293,290.1,15.1,999999
294,290.1,20.1,999999
295,295.1,0.1,999999
296,295.1,5.1,999999
297,295.1,10.1,999999
298,295.1,15.1,999999
299,295.1,20.1,999999
300,300.1,0.1,999999
301,300.1,5.1,999999
302,300.1,10.1,999999
303,300.1,15.1,999999
304,300.1,20.1,999999
305,305.1,0.1,999999
306,305.1,5.1,999999
307,305.1,10.1,999999
308,305.1,15.1,999999
309,305.1,20.1,999999
310,310.1,0.1,999999
311,310.1,5.1,999999
312,310.1,10.1,999999
313,310.1,15.1,999999
314,310.1,20.1,999999
315,315.1,0.1,999999
316,315.1,5.1,999999
317,315.1,10.1,999999
318,315.1,15.1,999999
319,315.1,20.1,999999
320,320.1,0.1,999999
321,320.1,5.1,999999
322,320.1,10.1,999999
323,320.1,15.1,999999
324,320.1,20.1,999999
325,325.1,0.1,999999
326,325.1,5.1,999999
327,325.1,10.1,999999
328,325.1,15.1,999999
329,325.1,20.1,999999
