KP,KI,DELAY,SETTLINGTIME
95.1,0.1,0.02,39.9508
95.1,5.1,0.02,41.5064
95.1,10.1,0.02,44.51909091
95.1,15.1,0.02,48.5508
100.1,0.1,0.02,39.7664
100.1,5.1,0.02,40.80493333
100.1,10.1,0.02,43.701
100.1,15.1,0.02,47.8908
105.1,0.1,0.02,39.6364
105.1,5.1,0.02,40.5264
105.1,10.1,0.02,43.49828571
105.1,15.1,0.02,47.5864
110.1,0.1,0.02,39.4764
110.1,5.1,0.02,39.83826667
110.1,10.1,0.02,42.76
110.1,15.1,0.02,46.8108
115.1,0.1,0.02,38.8764
115.1,5.1,0.02,39.6292
115.1,10.1,0.02,45.3908
115.1,15.1,0.02,46.6108
120.1,0.1,0.02,38.70493333
120.1,5.1,0.02,39.0508
120.1,10.1,0.02,45.6908
120.1,15.1,0.02,46.1308
125.1,0.1,0.02,38.5516
125.1,5.1,0.02,38.76376
125.1,10.1,0.02,45.5108
125.1,15.1,0.02,45.6916
130.1,0.1,0.02,40.61844444
130.1,5.1,0.02,44.6108
130.1,10.1,0.02,44.9708
130.1,15.1,0.02,45.4564
135.1,0.1,0.02,40.646
135.1,5.1,0.02,44.4908
135.1,10.1,0.02,44.7164
140.1,0.1,0.02,40.6115
140.1,5.1,0.02,44.3108
140.1,10.1,0.02,44.55826667
145.1,0.1,0.02,40.51112
145.1,5.1,0.02,43.8064
145.1,10.1,0.02,44.2708
150.1,0.1,0.02,40.3068
150.1,5.1,0.02,43.6464
150.1,10.1,0.02,43.7516
155.1,0.1,0.02,42.2308
155.1,5.1,0.02,43.4964
155.1,10.1,0.02,43.5892
160.1,0.1,0.02,42.4308
160.1,5.1,0.02,43.0908
160.1,10.1,0.02,43.3264
165.1,0.1,0.02,42.4108
165.1,5.1,0.02,42.7516
165.1,10.1,0.02,45.3768
170.1,0.1,0.02,42.1708
170.1,5.1,0.02,42.6042
170.1,10.1,0.02,44.7036
175.1,0.1,0.02,41.8364
175.1,5.1,0.02,44.259
175.1,10.1,0.02,47.6508
180.1,0.1,0.02,44.32666667
