KP,KI,DELAY,SETTLINGTIME
130.1,0.1,0.01,187.6424
130.1,0.1,0.02,187.6620308
130.1,0.1,0.03,187.6820308
130.1,0.1,0.04,187.6974154
120.1,1.1,0.01,187.70885
130.1,0.1,0.05,187.7166462
120.1,1.1,0.02,187.7300174
120.1,1.1,0.03,187.7513217
120.1,1.1,0.1,187.7578435
120.1,1.1,0.08,187.758176
120.1,1.1,0.04,187.7712909
120.1,1.1,0.09,187.7821833
120.1,1.1,0.05,187.7941143
120.1,1.1,0.06,187.8117333
120.1,1.1,0.07,187.83622
120.1,0.1,0.12,187.8478444
120.1,0.1,0.13,187.8746588
120.1,0.1,0.11,188.0664
120.1,0.1,0.1,188.0874667
120.1,0.1,0.01,188.2861333
120.1,2.1,0.01,188.304
120.1,0.1,0.02,188.3336444
120.1,2.1,0.02,188.3504
120.1,0.1,0.03,188.3724364
120.1,0.1,0.05,188.37848
120.1,0.1,0.06,188.39848
120.1,0.1,0.04,188.3988
120.1,2.1,0.05,188.409
120.1,2.1,0.04,188.409
120.1,2.1,0.06,188.4253846
120.1,0.1,0.07,188.4323429
120.1,0.1,0.08,188.4480571
120.1,0.1,0.09,188.4776533
120.1,2.1,0.03,191.0544
110.1,1.1,0.01,192.01492
120.1,3.1,0.01,192.15436
120.1,3.1,0.02,192.16436
120.1,3.1,0.03,192.19436
110.1,1.1,0.05,192.23492
110.1,1.1,0.06,192.26492
110.1,1.1,0.07,192.29492
110.1,1.1,0.08,192.32492
110.1,1.1,0.09,192.35492
110.1,1.1,0.1,192.38492
110.1,2.1,0.01,192.39484
110.1,2.1,0.02,192.42484
110.1,1.1,0.11,192.43492
110.1,2.1,0.03,192.45484
110.1,1.1,0.12,192.46492
110.1,2.1,0.04,192.48484
110.1,3.1,0.01,192.4948
110.1,5.1,0.03,192.51472
110.1,2.1,0.05,192.51488
110.1,1.1,0.13,192.51492
110.1,3.1,0.02,192.5448
110.1,2.1,0.06,192.54488
110.1,1.1,0.14,192.54492
100.1,1.1,0.04,192.56544
110.1,4.1,0.03,192.57476
110.1,3.1,0.03,192.5748
40.1,3.1,0.01,192.5859619
110.1,4.1,0.04,192.60476
110.1,3.1,0.04,192.6248
110.1,2.1,0.08,192.62488
110.1,4.1,0.05,192.65476
110.1,3.1,0.05,192.6748
110.1,4.1,0.06,192.68476
110.1,3.1,0.06,192.7048
110.1,4.1,0.07,192.73476
110.1,3.1,0.07,192.7748
40.1,3.1,0.1,192.77666
110.1,3.1,0.08,192.8048
110.1,2.1,0.11,192.81488
40.1,3.1,0.12,192.8184842
110.1,2.1,0.12,192.84488
40.1,3.1,0.13,192.8453263
40.1,3.1,0.14,192.8616421
110.1,3.1,0.09,192.87484
40.1,3.1,0.15,192.8905111
110.1,3.1,0.1,192.90484
40.1,3.1,0.16,192.9086588
110.1,2.1,0.13,192.93488
40.1,4.1,0.03,192.9377778
40.1,4.1,0.04,192.9685
100.1,1.1,0.05,192.993376
40.1,4.1,0.07,193.1426667
100.1,1.1,0.07,193.45544
100.1,6.1,0.01,193.47516
100.1,6.1,0.02,193.50516
100.1,1.1,0.08,193.52544
100.1,1.1,0.09,193.59544
100.1,5.1,0.02,193.6252
100.1,1.1,0.1,193.62544
100.1,5.1,0.05,193.69524
100.1,5.1,0.06,193.70524
100.1,1.1,0.12,193.70544
100.1,1.1,0.14,193.76548
100.1,3.1,0.1,193.92536
100.1,3.1,0.11,193.95536
100.1,3.1,0.13,193.993344
100.1,2.1,0.15,194.0234
90.1,1.1,0.01,194.09616
90.1,1.1,0.02,194.12616
90.1,1.1,0.03,194.13616
90.1,1.1,0.06,194.20616
90.1,4.1,0.01,194.22394
90.1,1.1,0.07,194.23408
90.1,4.1,0.02,194.24588
90.1,4.1,0.04,194.27394
90.1,4.1,0.03,194.27588
90.1,2.1,0.01,194.27608
90.1,4.1,0.05,194.29592
90.1,2.1,0.02,194.30404
90.1,3.1,0.02,194.306
90.1,2.1,0.03,194.32404
90.1,3.1,0.03,194.334
90.1,3.1,0.04,194.346
90.1,2.1,0.14,194.54406
80.1,1.1,0.03,194.54454
80.1,1.1,0.04,194.56708
90.1,3.1,0.15,194.574
90.1,2.1,0.15,194.57406
80.1,4.1,0.01,194.5844
80.1,1.1,0.05,194.59454
80.1,1.1,0.06,194.60708
90.1,2.1,0.18,194.63406
80.1,3.1,0.01,194.64444
80.1,2.1,0.01,194.65696
90.1,2.1,0.19,194.66406
80.1,3.1,0.02,194.66688
80.1,3.1,0.03,194.68444
80.1,3.1,0.04,194.70444
