KP,KI,DELAY,SETTLINGTIME
90.1,0.1,0.08,161.0879478
90.1,0.1,0.09,161.1902154
90.1,0.1,0.1,161.26368
40.1,0.1,0.01,161.32656
40.1,0.1,0.02,161.36384
90.1,0.1,0.11,161.39084
40.1,0.1,0.03,161.3998933
40.1,0.1,0.04,161.4098933
90.1,0.1,0.12,161.4247429
40.1,0.1,0.05,161.4398933
40.1,0.1,0.06,161.44292
40.1,0.1,0.08,161.4632267
40.1,0.1,0.07,161.46656
80.1,0.1,0.01,161.6981511
80.1,0.1,0.02,161.7282909
80.1,0.1,0.03,161.7581143
80.1,0.1,0.04,161.7838286
80.1,0.1,0.05,161.8163122
80.1,0.1,0.06,161.8391349
130.1,0.1,0.01,161.864736
80.1,0.1,0.07,161.8745474
80.1,0.1,0.08,161.89592
130.1,0.1,0.02,161.9098933
80.1,0.1,0.09,161.9352444
130.1,0.1,0.03,161.96656
130.1,0.1,0.04,162.06568
130.1,0.1,0.05,162.19568
70.1,0.1,0.01,162.5486698
120.1,0.6,0.1,166.2588
120.1,0.1,0.1,166.3329714
120.1,0.6,0.11,166.4341647
120.1,0.1,0.11,166.5010333
120.1,0.1,0.12,166.575025
120.1,0.1,0.13,166.6456
110.1,0.1,0.16,167.5827636
110.1,0.1,0.17,167.6828645
110.1,0.1,0.18,167.7538054
100.1,0.1,0.2,168.6626222
100.1,0.1,0.21,168.7583765
20.1,0.1,0.01,181.7843
20.1,0.1,0.02,181.7868
20.1,0.1,0.03,181.7918118
20.1,0.1,0.04,181.80805
20.1,0.1,0.05,181.8143
20.1,0.1,0.06,181.83305
20.1,0.1,0.07,181.84055
20.1,0.1,0.08,181.8606353
20.1,0.1,0.09,181.8671059
20.1,0.1,0.1,181.88805
20.1,0.1,0.11,181.8944533
20.1,0.1,0.12,181.9164533
130.1,0.6,0.01,182.74384
130.1,0.6,0.02,182.76384
130.1,0.6,0.03,182.77568
120.1,0.1,0.01,182.84384
120.1,0.1,0.02,182.86384
120.1,0.1,0.03,182.87568
120.1,0.1,0.04,182.90384
120.1,0.1,0.05,182.91568
120.1,0.1,0.06,182.94384
120.1,0.1,0.07,182.96384
110.1,0.1,0.01,182.97384
120.1,0.1,0.08,182.985312
120.1,1.1,0.1,182.985312
110.1,0.1,0.02,183.00184
120.1,0.1,0.09,183.00368
120.1,0.6,0.01,183.01384
110.1,0.1,0.03,183.02184
120.1,0.6,0.02,183.03384
120.1,0.6,0.09,183.04184
110.1,0.1,0.04,183.04384
120.1,0.6,0.03,183.05384
120.1,0.6,0.04,183.07384
120.1,1.1,0.01,183.07384
110.1,0.1,0.05,183.07384
110.1,0.6,0.16,183.08184
110.1,0.1,0.06,183.08384
120.1,0.6,0.05,183.09384
110.1,0.6,0.17,183.10368
120.1,1.1,0.02,183.10384
120.1,0.6,0.06,183.11384
110.1,0.1,0.07,183.11384
120.1,1.1,0.03,183.12384
110.1,0.1,0.08,183.12384
120.1,1.1,0.04,183.13384
120.1,0.6,0.07,183.13384
110.1,0.6,0.01,183.14384
120.1,0.6,0.08,183.14568
100.1,0.1,0.01,183.15384
110.1,0.1,0.09,183.15384
120.1,1.1,0.05,183.16384
110.1,0.6,0.02,183.16384
110.1,0.1,0.1,183.16384
120.1,1.1,0.08,183.17384
120.1,1.6,0.01,183.18384
110.1,0.1,0.11,183.18384
100.1,0.1,0.02,183.18384
110.1,0.1,0.12,183.18568
120.1,2.1,0.01,183.19384
110.1,0.6,0.03,183.19384
110.1,0.6,0.04,183.20384
120.1,1.6,0.02,183.2098933
120.1,1.1,0.06,183.21384
120.1,1.6,0.08,183.21384
100.1,0.1,0.03,183.21384
120.1,1.1,0.09,183.21384
90.1,0.1,0.13,183.21568
110.1,0.1,0.13,183.21568
110.1,1.1,0.15,183.21568
120.1,2.1,0.02,183.21656
120.1,2.6,0.01,183.22384
110.1,0.6,0.05,183.22384
110.1,0.1,0.14,183.22568
100.1,0.1,0.04,183.2298933
120.1,1.6,0.03,183.2332267
110.1,1.1,0.01,183.23384
110.1,0.6,0.06,183.23656
120.1,2.1,0.03,183.2398933
120.1,2.6,0.02,183.24384
120.1,1.6,0.04,183.24384
120.1,2.1,0.04,183.2498933
100.1,0.6,0.2,183.25384
120.1,3.1,0.01,183.25384
100.1,0.1,0.05,183.25384
110.1,0.1,0.15,183.25568
110.1,1.1,0.02,183.25656
120.1,1.1,0.07,183.2598933
120.1,1.6,0.05,183.26384
110.1,0.6,0.07,183.26384
120.1,2.1,0.05,183.26656
100.1,0.1,0.06,183.2698933
120.1,1.6,0.06,183.27384
110.1,0.6,0.08,183.27384
120.1,3.1,0.02,183.27656
110.1,1.1,0.03,183.2798933
120.1,2.6,0.03,183.2798933
110.1,1.1,0.04,183.29384
120.1,2.6,0.04,183.29384
100.1,0.1,0.07,183.29384
120.1,1.6,0.07,183.29384
120.1,3.1,0.03,183.2998933
110.1,0.6,0.09,183.2998933
100.1,0.6,0.01,183.30656
100.1,0.1,0.08,183.3098933
110.1,1.1,0.05,183.3132267
120.1,2.6,0.05,183.3132267
110.1,0.6,0.1,183.31384
100.1,0.1,0.19,183.31384
110.1,1.6,0.01,183.3198933
120.1,2.1,0.06,183.3232267
110.1,1.1,0.06,183.32384
90.1,0.1,0.14,183.32568
100.1,0.6,0.02,183.3298933
100.1,0.1,0.09,183.33384
110.1,0.6,0.11,183.33384
90.1,0.1,0.15,183.33568
110.1,1.6,0.02,183.33656
110.1,2.1,0.01,183.3398933
120.1,2.1,0.07,183.3398933
110.1,5.1,0.01,183.34292
100.1,0.6,0.03,183.34656
110.1,1.1,0.07,183.34656
110.1,0.6,0.12,183.3498933
110.1,4.6,0.01,183.3532267
110.1,1.6,0.03,183.3532267
100.1,0.1,0.1,183.35384
110.1,1.1,0.08,183.35656
110.1,2.6,0.01,183.36292
110.1,2.1,0.02,183.3632267
100.1,0.6,0.04,183.3632267
110.1,3.1,0.01,183.36656
110.1,4.1,0.01,183.36792
110.1,1.6,0.04,183.3698933
110.1,4.6,0.02,183.37292
110.1,3.6,0.01,183.3732267
110.1,0.6,0.13,183.37384
110.1,5.1,0.02,183.37656
110.1,1.1,0.1,183.37656
110.1,0.6,0.14,183.37656
110.1,2.1,0.03,183.3798933
110.1,1.1,0.09,183.3798933
100.1,0.1,0.11,183.3798933
110.1,4.1,0.02,183.38292
110.1,2.6,0.02,183.3832267
90.1,0.1,0.01,183.38384
100.1,0.6,0.05,183.38656
110.1,1.6,0.05,183.38792
110.1,3.1,0.02,183.38792
100.1,0.1,0.12,183.3898933
110.1,3.6,0.02,183.39292
110.1,5.1,0.03,183.39292
100.1,1.1,0.01,183.3932267
110.1,4.6,0.03,183.3932267
110.1,0.6,0.15,183.39384
110.1,2.1,0.04,183.39656
110.1,3.6,0.03,183.3998933
110.1,1.1,0.11,183.3998933
110.1,2.6,0.03,183.40292
110.1,4.1,0.03,183.40292
110.1,1.6,0.06,183.40292
100.1,0.6,0.06,183.4032267
90.1,0.1,0.02,183.40384
110.1,3.1,0.03,183.40656
110.1,4.1,0.04,183.40792
110.1,1.1,0.12,183.4098933
