,kp,ki,Average Settling Time (sec)
204,90.1,7.6,999999
205,90.1,8.1,999999
206,90.1,8.6,999999
207,90.1,9.1,999999
208,90.1,9.6,999999
209,90.1,10.1,999999
211,100.1,0.6,999999
212,100.1,1.1,999999
213,100.1,1.6,999999
214,100.1,2.1,999999
215,100.1,2.6,999999
216,100.1,3.1,999999
217,100.1,3.6,999999
218,100.1,4.1,999999
219,100.1,4.6,999999
220,100.1,5.1,999999
221,100.1,5.6,999999
222,100.1,6.1,999999
223,100.1,6.6,999999
224,100.1,7.1,999999
225,100.1,7.6,999999
226,100.1,8.1,999999
227,100.1,8.6,999999
228,100.1,9.1,999999
229,100.1,9.6,999999
230,100.1,10.1,999999
231,110.1,0.1,999999
232,110.1,0.6,999999
233,110.1,1.1,999999
234,110.1,1.6,999999
235,110.1,2.1,999999
236,110.1,2.6,999999
237,110.1,3.1,999999
238,110.1,3.6,999999
239,110.1,4.1,999999
240,110.1,4.6,999999
241,110.1,5.1,999999
242,110.1,5.6,999999
243,110.1,6.1,999999
244,110.1,6.6,999999
245,110.1,7.1,999999
246,110.1,7.6,999999
247,110.1,8.1,999999
248,110.1,8.6,999999
249,110.1,9.1,999999
250,110.1,9.6,999999
251,110.1,10.1,999999
252,120.1,0.1,999999
253,120.1,0.6,999999
254,120.1,1.1,999999
255,120.1,1.6,999999
256,120.1,2.1,999999
257,120.1,2.6,999999
258,120.1,3.1,999999
259,120.1,3.6,999999
260,120.1,4.1,999999
261,120.1,4.6,999999
262,120.1,5.1,999999
263,120.1,5.6,999999
264,120.1,6.1,999999
265,120.1,6.6,999999
266,120.1,7.1,999999
267,120.1,7.6,999999
268,120.1,8.1,999999
269,120.1,8.6,999999
270,120.1,9.1,999999
271,120.1,9.6,999999
272,120.1,10.1,999999
273,130.1,0.1,999999
274,130.1,0.6,999999
275,130.1,1.1,999999
276,130.1,1.6,999999
277,130.1,2.1,999999
278,130.1,2.6,999999
279,130.1,3.1,999999
280,130.1,3.6,999999
281,130.1,4.1,999999
282,130.1,4.6,999999
283,130.1,5.1,999999
284,130.1,5.6,999999
285,130.1,6.1,999999
286,130.1,6.6,999999
287,130.1,7.1,999999
288,130.1,7.6,999999
289,130.1,8.1,999999
290,130.1,8.6,999999
291,130.1,9.1,999999
292,130.1,9.6,999999
293,130.1,10.1,999999
294,140.1,0.1,999999
295,140.1,0.6,999999
296,140.1,1.1,999999
297,140.1,1.6,999999
298,140.1,2.1,999999
299,140.1,2.6,999999
300,140.1,3.1,999999
301,140.1,3.6,999999
302,140.1,4.1,999999
303,140.1,4.6,999999
304,140.1,5.1,999999
305,140.1,5.6,999999
306,140.1,6.1,999999
307,140.1,6.6,999999
308,140.1,7.1,999999
309,140.1,7.6,999999
310,140.1,8.1,999999
311,140.1,8.6,999999
312,140.1,9.1,999999
313,140.1,9.6,999999
314,140.1,10.1,999999
